State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh","East Godavari",Jaggampet,Paddy(Dhan)(Common),Common,FAQ,06/04/2025,2300,2320,2320
Assam,Barpeta,"Barpeta Road","Bottle gourd","Bottle Gourd",Local,06/04/2025,1133.39,1200.06,1200.06
Assam,Barpeta,"Barpeta Road",Cabbage,Cabbage,Local,06/04/2025,300,400,400
Assam,Cachar,Sonabarighat,Cabbage,Cabbage,Local,06/04/2025,1500,1600,1500
Assam,Golaghat,Golaghat,Tomato,Tomato,Local,06/04/2025,1000,1300,1200
Assam,Nalbari,Kumrikata,"Bitter gourd","Bitter Gourd",Local,06/04/2025,2400,3000,2600
Assam,Nalbari,Kumrikata,Brinjal,Brinjal,Local,06/04/2025,1200,1600,1500
Assam,Nalbari,Kumrikata,Pumpkin,Pumpkin,Local,06/04/2025,1000,1200,1000
Assam,Sibsagar,Sibsagar,Pumpkin,Pumpkin,Local,06/04/2025,1000,1300,1300
Assam,Sibsagar,Sibsagar,Tomato,Tomato,Local,06/04/2025,1100,1400,1300
Bihar,Araria,Forbesganj,Potato,Jyoti,FAQ,06/04/2025,800,1200,1000
Bihar,Madhepura,Murliganj,Potato,"Kufri Megha",FAQ,06/04/2025,1200,1500,1250
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,06/04/2025,800,1500,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Green Chilli",Other,FAQ,06/04/2025,2500,3000,2800
Chattisgarh,Bilaspur,Tiphra,Potato,Local,Non-FAQ,06/04/2025,2200,2400,2300
Chattisgarh,Kondagaon,Pharasgaon,Maize,Hybrid,Non-FAQ,06/04/2025,2000,2000,2000
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,06/04/2025,1250,2050,1800
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,06/04/2025,3850,4550,4200
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,06/04/2025,9950,10500,10000
Gujarat,Amreli,Damnagar,Tomato,Local,Non-FAQ,06/04/2025,350,1050,800
Gujarat,Dahod,"Dahod(Veg. Market)",Cabbage,Cabbage,FAQ,06/04/2025,300,1000,500
Gujarat,Dahod,"Dahod(Veg. Market)",Carrot,Carrot,FAQ,06/04/2025,1500,2500,2000
Gujarat,Dahod,"Dahod(Veg. Market)","Green Chilli","Green Chilly",FAQ,06/04/2025,1000,4500,3500
Gujarat,Dahod,"Dahod(Veg. Market)",Pumpkin,Pumpkin,FAQ,06/04/2025,1000,1500,1200
Haryana,Ambala,"Ambala Cantt.","Bhindi(Ladies Finger)",Bhindi,FAQ,06/04/2025,2200,4000,3600
Haryana,Faridabad,Ballabhgarh,Carrot,Other,FAQ,06/04/2025,800,1000,900
Haryana,Faridabad,Ballabhgarh,Cauliflower,Other,FAQ,06/04/2025,800,1000,900
Haryana,Faridabad,Ballabhgarh,Cucumbar(Kheera),Other,FAQ,06/04/2025,400,800,600
Haryana,Faridabad,Ballabhgarh,"Long Melon(Kakri)","Long Melon (Kakri)",FAQ,06/04/2025,1000,1500,1200
Haryana,Faridabad,Ballabhgarh,Tomato,Other,FAQ,06/04/2025,600,800,700
Haryana,Faridabad,Faridabad,Grapes,Other,Large,06/04/2025,4000,6000,5000
Haryana,Faridabad,Faridabad,Orange,Other,Large,06/04/2025,4800,5000,4900
Haryana,Gurgaon,Gurgaon,"Karbuja(Musk Melon)",Other,Large,06/04/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,Orange,Other,Large,06/04/2025,4000,6000,5000
Haryana,Hissar,Adampur,Cotton,Other,FAQ,06/04/2025,6400,7509,7450
Haryana,Hissar,Barwala(Hisar),Apple,Other,Medium,06/04/2025,7900,8000,7980
Haryana,Hissar,Barwala(Hisar),"Bottle gourd",Other,FAQ,06/04/2025,900,1000,950
Haryana,Hissar,Barwala(Hisar),Potato,Other,FAQ,06/04/2025,900,1000,950
Haryana,Hissar,Barwala(Hisar),"Squash(Chappal Kadoo)",Other,FAQ,06/04/2025,800,1000,900
Haryana,Hissar,Hansi,"Bottle gourd",Other,FAQ,06/04/2025,800,1000,900
Haryana,Hissar,Hansi,Cauliflower,Other,FAQ,06/04/2025,600,1000,800
Haryana,Hissar,Hansi,Onion,Other,Non-FAQ,06/04/2025,1500,2500,2000
Haryana,Hissar,Uklana,"Bhindi(Ladies Finger)",Bhindi,FAQ,06/04/2025,2000,2000,2000
Haryana,Hissar,Uklana,"Bottle gourd","Bottle Gourd",FAQ,06/04/2025,700,800,800
Haryana,Hissar,Uklana,Onion,Onion,FAQ,06/04/2025,1400,1500,1500
Haryana,Hissar,Uklana,Pomegranate,Pomogranate,Medium,06/04/2025,8000,8000,8000
Haryana,Mewat,Tauru,Banana,Other,Medium,06/04/2025,2000,2000,2000
Haryana,Mewat,Tauru,"Mousambi(Sweet Lime)",Other,Medium,06/04/2025,3500,4000,3500
Haryana,Panchkula,Panchkul(Kalka),Banana,Medium,Large,06/04/2025,5500,6500,6000
Haryana,Sonipat,Ganaur,Brinjal,Brinjal,FAQ,06/04/2025,1500,2000,1800
Haryana,Sonipat,Ganaur,Carrot,Carrot,FAQ,06/04/2025,2000,2500,2200
Haryana,Sonipat,Ganaur,Cucumbar(Kheera),Cucumbar,FAQ,06/04/2025,1200,2000,1500
Haryana,Sonipat,Ganaur,"Green Chilli","Green Chilly",FAQ,06/04/2025,5000,6000,5500
Haryana,Sonipat,Ganaur,Potato,Potato,FAQ,06/04/2025,900,1000,900
Haryana,Sonipat,Ganaur,Tinda,Tinda,FAQ,06/04/2025,1300,1400,1300
Haryana,Sonipat,Gohana,Apple,Apple,Large,06/04/2025,10000,12000,11000
Haryana,Sonipat,Gohana,"Banana - Green",Other,FAQ,06/04/2025,2000,2500,2200
Haryana,Sonipat,Gohana,Carrot,Other,FAQ,06/04/2025,800,1000,900
Haryana,Sonipat,Gohana,"Green Chilli",Other,FAQ,06/04/2025,5000,6000,5500
Haryana,Sonipat,Sonepat(Kharkhoda),Potato,Other,FAQ,06/04/2025,900,1100,1000
"Himachal Pradesh",Mandi,Mandi(Takoli),Onion,Other,FAQ,06/04/2025,2000,2500,2300
Karnataka,"Karwar(Uttar Kannad)",Haliyala,Paddy(Dhan)(Common),"Paddy Medium",FAQ,06/04/2025,2150,2600,2300
Kerala,Ernakulam,"Koovapadi VFPCK",Papaya,Papaya,Large,06/04/2025,1400,1800,1600
Kerala,Ernakulam,"Koovapadi VFPCK",Pineapple,Other,Large,06/04/2025,4600,5000,4800
Kerala,Ernakulam,Piravam,Amphophalus,Other,FAQ,06/04/2025,5000,7000,6000
Kerala,Ernakulam,Piravam,Carrot,Other,FAQ,06/04/2025,4000,6000,5000
Kerala,Ernakulam,Piravam,Colacasia,Other,FAQ,06/04/2025,5000,6500,6000
Kerala,Ernakulam,Piravam,Lemon,Other,FAQ,06/04/2025,10000,12000,11000
Kerala,Ernakulam,Piravam,"Long Melon(Kakri)",Other,FAQ,06/04/2025,2500,3500,3000
Kerala,Ernakulam,Piravam,Snakeguard,Other,FAQ,06/04/2025,4000,6000,5000
