State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Andhra Pradesh,East Godavari,Jaggampet,Paddy(Dhan)(Common),Common,FAQ,2025-04-06,2300.0,2320.0,2320.0
Assam,Barpeta,Barpeta Road,Bottle gourd,Bottle Gourd,Local,2025-04-06,1133.39,1200.06,1200.06
Assam,Barpeta,Barpeta Road,Cabbage,Cabbage,Local,2025-04-06,300.0,400.0,400.0
Assam,Cachar,Sonabarighat,Cabbage,Cabbage,Local,2025-04-06,1500.0,1600.0,1500.0
Assam,Golaghat,Golaghat,Tomato,Tomato,Local,2025-04-06,1000.0,1300.0,1200.0
Assam,Nalbari,Kumrikata,Bitter gourd,Bitter Gourd,Local,2025-04-06,2400.0,3000.0,2600.0
Assam,Nalbari,Kumrikata,Brinjal,Brinjal,Local,2025-04-06,1200.0,1600.0,1500.0
Assam,Nalbari,Kumrikata,Pumpkin,Pumpkin,Local,2025-04-06,1000.0,1200.0,1000.0
Assam,Sibsagar,Sibsagar,Pumpkin,Pumpkin,Local,2025-04-06,1000.0,1300.0,1300.0
Assam,Sibsagar,Sibsagar,Tomato,Tomato,Local,2025-04-06,1100.0,1400.0,1300.0
Bihar,Araria,Forbesganj,Potato,Jyoti,FAQ,2025-04-06,800.0,1200.0,1000.0
Bihar,Madhepura,Murliganj,Potato,Kufri Megha,FAQ,2025-04-06,1200.0,1500.0,1250.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,2025-04-06,800.0,1500.0,1200.0
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Green Chilli,Other,FAQ,2025-04-06,2500.0,3000.0,2800.0
Chattisgarh,Bilaspur,Tiphra,Potato,Local,Non-FAQ,2025-04-06,2200.0,2400.0,2300.0
Chattisgarh,Kondagaon,Pharasgaon,Maize,Hybrid,Non-FAQ,2025-04-06,2000.0,2000.0,2000.0
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,2025-04-06,1250.0,2050.0,1800.0
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,FAQ,2025-04-06,3850.0,4550.0,4200.0
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,2025-04-06,9950.0,10500.0,10000.0
Gujarat,Amreli,Damnagar,Tomato,Local,Non-FAQ,2025-04-06,350.0,1050.0,800.0
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,FAQ,2025-04-06,300.0,1000.0,500.0
Gujarat,Dahod,Dahod(Veg. Market),Carrot,Carrot,FAQ,2025-04-06,1500.0,2500.0,2000.0
Gujarat,Dahod,Dahod(Veg. Market),Green Chilli,Green Chilly,FAQ,2025-04-06,1000.0,4500.0,3500.0
Gujarat,Dahod,Dahod(Veg. Market),Pumpkin,Pumpkin,FAQ,2025-04-06,1000.0,1500.0,1200.0
Haryana,Ambala,Ambala Cantt.,Bhindi(Ladies Finger),Bhindi,FAQ,2025-04-06,2200.0,4000.0,3600.0
Haryana,Faridabad,Ballabhgarh,Carrot,Other,FAQ,2025-04-06,800.0,1000.0,900.0
Haryana,Faridabad,Ballabhgarh,Cauliflower,Other,FAQ,2025-04-06,800.0,1000.0,900.0
Haryana,Faridabad,Ballabhgarh,Cucumbar(Kheera),Other,FAQ,2025-04-06,400.0,800.0,600.0
Haryana,Faridabad,Ballabhgarh,Long Melon(Kakri),Long Melon (Kakri),FAQ,2025-04-06,1000.0,1500.0,1200.0
Haryana,Faridabad,Ballabhgarh,Tomato,Other,FAQ,2025-04-06,600.0,800.0,700.0
